COURSE_ACAD_YR,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,ELR2B2_YEAR,COURSE_URL,NEW_COURSE
2017/18,NYP,C39,Aerospace / Electrical / Electronics Programme,ENGINEERING,21,2017,http://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-electrical-electronics-programme.html,No
2017/18,RP,R56,Engineering Design with Business,ENGINEERING,24,2017,http://www.rp.edu.sg/02_School_of_Engineering/School_of_Engineering.aspx,No
2017/18,SP,S64,Applied Chemistry,APPLIED SCIENCES,10,2017,http://www.sp.edu.sg/wps/portal/vp-spws/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOJDPUxdjdxMTQz8XQNdDTwNg8xd_N1dDVydDfQLsh0VAWb2orM!/?WCM_GLOBAL_CONTEXT=,No
2017/18,NP,N40,Hotel & Leisure Facilities Management,BUILT ENVIRONMENT,12,2017,http://www.np.edu.sg/de/courses/hlfm/Pages/hlfm.aspx,No
2017/18,NP,N41,Mechanical Engineering,ENGINEERING,18,2017,http://www.np.edu.sg/soe/courses/me/Pages/me.aspx,No
2017/18,NP,N42,Marine & Offshore Technology,MARITIME STUDIES,18,2017,http://www.np.edu.sg/soe/courses/mot/Pages/mot.aspx,No
2017/18,NP,N43,Electrical Engineering,ENGINEERING,21,2017,http://www.np.edu.sg/soe/courses/ee/Pages/ee.aspx,No
2017/18,NP,N44,Electronic & Computer Engineering,ENGINEERING,19,2017,http://www.np.edu.sg/soe/courses/ece/Pages/ece.aspx,No
2017/18,NP,N45,Business Studies,BUSINESS & MANAGEMENT,10,2017,http://www.np.edu.sg/ba/courses/bs/Pages/bs.aspx,No
2017/18,NP,N48,Real Estate Business,BUILT ENVIRONMENT,16,2017,http://www.np.edu.sg/DE/COURSES/REB/Pages/reb.aspx,No
2017/18,NP,N49,Molecular Biotechnology,APPLIED SCIENCES,8,2017,http://www.np.edu.sg/lsct/courses/mbio/Pages/default.aspx,No
2017/18,NP,N50,Automation & Mechatronic Systems,ENGINEERING,19,2017,http://www.np.edu.sg/soe/courses/ams/Pages/ams.aspx,No
2017/18,NP,N51,Accountancy,BUSINESS & MANAGEMENT,11,2017,http://www.np.edu.sg/ba/courses/acc/Pages/acc.aspx,No
2017/18,NP,N53,Banking & Financial Services,BUSINESS & MANAGEMENT,10,2017,http://www.np.edu.sg/ba/courses/bfs/Pages/bfs.aspx,No
2017/18,NP,N54,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,14,2017,http://www.np.edu.sg/ict/courses/fulltime/it/Pages/it.aspx,No
2017/18,NP,N55,Multimedia & Animation,INFORMATION & DIGITAL TECHNOLOGIES,15,2017,http://www.np.edu.sg/ict/courses/fulltime/mma/Pages/mma.aspx,No
2017/18,NP,N56,Chemical & Biomolecular Engineering,APPLIED SCIENCES,12,2017,http://www.np.edu.sg/lsct/courses/cbe/Pages/default.aspx,No
2017/18,NP,N57,Landscape Design & Horticulture,APPLIED SCIENCES,16,2017,http://www.np.edu.sg/lsct/courses/ldh/Pages/default.aspx,No
2017/18,NP,N59,Biomedical Science,APPLIED SCIENCES,8,2017,http://www.np.edu.sg/lsct/courses/bms/Pages/home.aspx,No
2017/18,NP,N60,Biomedical Engineering,ENGINEERING,13,2017,http://www.np.edu.sg/soe/courses/bme/Pages/bme.aspx,No
2017/18,NP,N64,Network Systems & Security,INFORMATION & DIGITAL TECHNOLOGIES,11,2017,http://www.np.edu.sg/soe/courses/nss/Pages/nss.aspx,No
2017/18,NP,N65,Aerospace Technology,ENGINEERING,13,2017,http://www.np.edu.sg/soe/courses/at/Pages/at.aspx,No
2017/18,NP,N66,Early Childhood Education,HUMANITIES,15,2017,http://www.np.edu.sg/hms/courses/ECH/Pages/ech.aspx,No
2017/18,NP,N67,Mass Communication,MEDIA & DESIGN,10,2017,http://www.np.edu.sg/fms/courses/diploma/Pages/mcm.aspx,No
2017/18,NP,N68,Product Design & Innovation,MEDIA & DESIGN,17,2017,http://www.np.edu.sg/de/courses/pdi/Pages/pdi.aspx,No
2017/18,NP,N69,Health Sciences (Nursing),HEALTH SCIENCES,26,2017,http://www.np.edu.sg/hs/courses/hsn/Pages/HSN.aspx,No
2017/18,NP,N70,Chinese Studies,HUMANITIES,16,2017,http://www.np.edu.sg/hms/courses/CHS/Pages/chs_en.aspx,No
2017/18,NP,N71,Engineering with Business Management Programme,ENGINEERING,15,2017,http://www.np.edu.sg/soe/courses/ebm/Pages/ebm.aspx,No
2017/18,NP,N72,Tourism & Resort Management,BUSINESS & MANAGEMENT,11,2017,http://www.np.edu.sg/ba/courses/trm/Pages/trm.aspx,No
2017/18,NP,N73,Pharmacy Science,APPLIED SCIENCES,9,2017,http://www.np.edu.sg/lsct/courses/pharm/Pages/default.aspx,No
2017/18,NP,N74,Environmental & Water Technology,APPLIED SCIENCES,15,2017,http://www.np.edu.sg/lsct/courses/ewt/Pages/ewt.aspx,No
2017/18,NP,N75,Aerospace Electronics,ENGINEERING,15,2017,http://www.np.edu.sg/soe/courses/ae/Pages/ae.aspx,No
2017/18,NP,N76,Audio-visual Technology,ENGINEERING,12,2017,http://www.np.edu.sg/soe/courses/avt/Pages/avt.aspx,No
2017/18,NP,N77,Psychology Studies,HUMANITIES,8,2017,http://www.np.edu.sg/hms/courses/PCS/Pages/pcs.aspx,No
2017/18,NP,N78,Visual Effects,MEDIA & DESIGN,15,2017,http://www.np.edu.sg/fms/courses/diploma/pages/vfx.aspx,No
2017/18,NP,N79,Business & Social Enterprise,BUSINESS & MANAGEMENT,10,2017,http://www.np.edu.sg/hms/courses/bzse/Pages/bzse.aspx,No
2017/18,NP,N80,International Logistics & Supply Chain Management,BUSINESS & MANAGEMENT,15,2017,http://www.np.edu.sg/ba/courses/ilscm/Pages/ilscm.aspx,No
2017/18,NP,N81,Financial Informatics,INFORMATION & DIGITAL TECHNOLOGIES,13,2017,http://www.np.edu.sg/ict/courses/fulltime/fi/Pages/fi.aspx,No
