year,school,course_name,course_description,course_code,reference
2016,SP Business School,Diploma in Accountancy,"SP Diploma in Accountancy covers accounting, auditing, costing, finance, taxation, banking, system analysis and more.",S75,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.accountancy
2016,School of Mechanical & Aeronautical Engineering,Diploma in Aeronautical Engineering,"SP Diploma in Aeronautical Engineering covers design, development and maintenance of aircraft, its modifications and more.",S88,http://www.sp.edu.sg/wps/portal/vp-spws/schmae.cse.ftdip.aeronauticalengineering
2016,School of Electrical & Electronic Engineering,Diploma in Aerospace Electronics,"SP Diploma in Aerospace Electronics covers aircraft electrical, instrument and radio systems, navigation principles and more.",S90,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.aerospaceelectronics
2016,School of Chemical & Life Sciences,Diploma in Applied Chemistry,"SP Diploma in Applied Chemistry covers the areas of applying chemistry in forensics, materials, environment and more.",S64,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.appliedchemistrywithpharmaceuticalscience
2016,"School of Communication, Arts & Social Sciences",Diploma in Applied Drama & Psychology,"SP Diploma in Applied Drama and Psychology covers human psychology, drama programmes, theatre studies, community development and more.",S43,http://www.sp.edu.sg/wps/portal/vp-spws/schcass.cse.dip.dipinapplieddramaandpsychology
2016,School of Architecture & the Built Environment,Diploma in Architecture,"SP Diploma in Architecture covers architecture theory, materials, design methods, environmental management and sustainability, and more.",S66,http://www.sp.edu.sg/wps/portal/vp-spws/schabe.cse.ftdip.architecture
2016,SP Business School,Diploma in Banking & Finance,"SP Diploma in Banking and Financial Services covers the areas of banking knowledge, financial services, fund management and more.",S76,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.bankingandfinancialservices
2016,School of Mechanical & Aeronautical Engineering,Diploma in Bioengineering,"SP Diploma in Bioengineering encompasses mechanical engineering, biomedical engineering, life sciences and more.",S58,http://www.sp.edu.sg/wps/portal/vp-spws/schmae.cse.ftdip.bioengineering
2016,School of Chemical & Life Sciences,Diploma in Biomedical Science,"SP Diploma in Biomedical Science covers the areas of biological science, cardiac technology, management and prevention of diseases and more.",S98,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.biomedicalscience
2016,School of Chemical & Life Sciences,Diploma in Biotechnology,"SP Diploma in Biotechnology covers disciplines related to the life sciences such as microbial, plant and animal sciences, and more.",S72,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.biotech
2016,SP Business School,Diploma in Business Administration,"SP Diploma in Business Administration covers human resource management, international business and trade, marketing and more.",S71,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.businessadmin
2016,School of Digital Media & Infocomm Technology,Diploma in Business Information Technology,"SP Diploma in Business Information Technology covers business and IT, management of business solutions, new media and more.",S82,http://www.sp.edu.sg/wps/portal/vp-spws/schdmit.cse.ftdip.bit
2016,SP Business School,Diploma in Business Innovation & Design,SP Diploma in Business Innovation and Design is about taking the way designers think and applying it to business to create innovations.,S34,http://www.sp.edu.sg/wps/portal/vp-spws/schb.cse.ftdip.dbid
2016,School of Chemical & Life Sciences,Diploma in Chemical Engineering,SP Diploma in Chemical Engineering exposes students to chemical engineering principles in the production of chemical products and more.,S70,http://www.sp.edu.sg/wps/portal/vp-spws/schcls.cse.ftdip.chemicalengineering
2016,School of Architecture & the Built Environment,Diploma in Civil Engineering with Business,SP Diploma in Civil Engineering with Business incorporates civil engineering combined with business studies and more.,S68,http://www.sp.edu.sg/wps/portal/vp-spws/schabe.cse.ftdip.civilengineeringwithbusiness
2016,School of Electrical & Electronic Engineering,Common Engineering Programme,Common Engineering Programme provides exposure to multi-disciplinary engineering to aid you in decision-making on an area of specialisation.,S40,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.cep
2016,School of Electrical & Electronic Engineering,Diploma in Computer Engineering,"SP Diploma in Computer Engineering covers development, maintenance, implementation of computer systems and applications and more.",S53,http://www.sp.edu.sg/wps/portal/vp-spws/scheee.cse.ftdip.computerengineering
2016,"School of Communication, Arts & Social Sciences",Diploma in Creative Writing for TV & New Media,"SP Diploma in Creative Writing for TV and New Media covers the writing and producing of TV programmes, new media and more.",S41,http://www.sp.edu.sg/wps/portal/vp-spws/schcass.cse.dip.dipincreativewritingfortvandnewmedia
