year,school,course_name,moe_course_code,poly_course_code,course_description,reference
2016,School of Applied Science,Diploma in Applied Food Science & Nutrition,T26,A0A,"What’s in your favourite snack of crisps or instant noodles? Why do food manufacturers add chemicals to our packaged food? Can food really help us feel and look good? More and more, the world has become concerned with the nutritional value of our food. We see it in our friends who refuse to eat chicken skin or dessert toppings and fillings laced with cream; we also see it in those who opt for a “low carbo” diet and those who label fast-food and dessert as “sin”.Are the tastiest foods also the “unhealthiest”? What makes the “healthy” so beneficial for us? And why do we all have friends who can eat all they want and apparently never put on weight?This Diploma course explores these issues and more, as students learn to become food science and nutrition professionals. They will discover the science behind food and how its components react with each other and/or impact our health. Students will learn how to develop innovative, healthier and safer foods as well as evaluate meals, and how to manage diseases using diet and food. Applying the scientific knowledge of both food science and nutrition, students will get a headstart in the food, nutrition and healthcare industries!",http://www.tp.edu.sg/schools/asc/applied-food-science-and-nutrition
2016,School of Applied Science,Diploma in Baking & Culinary Science,T44,A0J,"This course will teach you to scientifically evaluate the sensory and food quality aspects of the dishes you prepare. Right from your first year, comprehensive hands-on training on culinary and baking skills sets your foundation, followed by an intensive yet interactive second year with more advanced techniques and skill-based experiences coupled with the science behind the techniques. The curriculum encompasses chemistry, microbiology, food safety, product development, as well as baking and culinary technology. Part of the uniqueness of this course is that you will undergo a truly Asian culinary experience with a touch of your local heritage too. During the third year, you will apply your acquired scientific knowledge and culinary skills to manage and operate various real-life F&B Learning Enterprises on campus, as well as undergo a student internship to gain and further develop your career-specific skills in the diverse food and beverage (F&B) industry or food/ ingredients companies.",http://www.tp.edu.sg/schools/asc/baking-and-culinary-science
2016,School of Applied Science,Diploma in Biomedical Science,T27,A0G,"Singapore is poised to be a global hub for biomedical sciences. The local biomedical sciences sector is growing rapidly with increasing foreign direct investment that boosts job opportunities in clinical laboratory testing, clinical trials as well as research and development. Singapore’s thrust to be the region’s medical hub with world-class healthcare services emphasises the need for quality trained technologists in clinical laboratories and clinical research. This course puts you in demand! You begin by learning the foundational sciences to understand the biology and chemistry of health sciences. You will study, among other things, the inner workings of living cells, the biological processes involving proteins and enzymes, the structure, parts and functions of the human body, and the world of bacteria, viruses and other microorganisms. You will progress to learn the nature, causes and progression of human diseases, our biological responses and defences, and diagnosis so that appropriate treatment can be provided. You will ultimately build your strength in the testing, diagnosis, management and prevention of diseases. Our course emphasises learning through established collaborative training with industry/ hospitals, taught by experienced teaching staff and industry practitioners. The compulsory structured internship in relevant industries carried out concurrently with major projects helps you to experience real working life and allows you to apply theory to practice on actual industry projects.",http://www.tp.edu.sg/schools/asc/biomedical-science-t27
2016,School of Applied Science,Diploma in Biotechnology,T31,A0F,"Genes, molecular biology, cloning, immunology, therapeutics, diagnostics, forensics, health and diseases – do these terms excite you? Are you fascinated about how living systems work? Do you want a career that involves new biological discoveries and novel applications of knowledge? If so, this course is for you!This course trains you to be a research technologist supporting the growing life science industry. The Singapore Government has targeted the life science industry to be our fourth pillar of economic growth, and has invested heavily to make Singapore the regional life sciences hub. As a result, research technologists are increasingly in demand in disease biology, diagnostics and therapeutics.At the same time, more manpower is also needed for research activities on economically important plants and animals so as to increase our food yield.In your first year, you will develop a solid foundation in basic biology and chemistry.  The second year trains you in the diploma-specialisation subjects through a well-integrated sequence of modules on cellular and molecular biotechnology.  A hands-on approach forms the core basis of training, during which you will acquire  a repertoire of research skills in the areas of molecular biology, biochemistry, microbiology, immunology, genomics, proteomics, plant biotechnology, immunology and other key supporting technology essential for biomedical and scientific research.  The elective subjects that you will take in the third year will allow you greater specialisation in your selected field, especially in the areas of translational biomedical research or forensics and bioanalytics.  You will eventually develop a solid broad-based foundation in life sciences that will maximise your career and future educational options. To further hone your technical skills, you will undergo a five-month attachment either locally or overseas in the biotechnology and biomedical industries.",http://www.tp.edu.sg/schools/asc/biotechnology
2016,School of Applied Science,Diploma in Chemical Engineering,T33,A0D,"Oil refinery giants, major manufacturers of petrochemicals and specialty chemicals and pharmaceutical giants all have a strong presence in Singapore. These companies, rooted in such diverse fields, have one thing in common — they rely on chemical engineers in all aspects of their operations. Chemical engineers are involved in the manufacture of products such as fuel, petrochemicals, cosmetics, plastics, processed foods and medicine so that we can enjoy and reap the benefits of scientific discoveries. They hold crucial responsibilities in the process industry such as running plant operations, designing reactors and process equipment, improving efficiency as well as looking into the safety and environmental aspects of processes. This course will equip you with knowledge and skills in chemistry and analytical chemistry, and laboratory techniques so that you will be well trained to do research and testing for the Chemical and Pharmaceutical Industry.  Moreover, you will be trained in chemical process technology, occupational safety and health, and environmental technology so that you will be able operate and optimise manufacturing systems that produces the daily products that we use in our daily lives. The extensive scope of this course will prepare you for higher education well. Besides local universities, students can enrol to SIT (Singapore Institute of Technology) for further studies. The University of New South Wales, University College of London, University of Adelaide and many top overseas universities also offer advanced standing to our graduates. You will have opportunities for local or overseas internships at MNCs and reputable institutions.",http://www.tp.edu.sg/schools/asc/chemical-engineering
2016,School of Applied Science,Diploma in Consumer Science & Technology,NA,A0C,Ceased intake,na
2016,School of Applied Science,Diploma in Pharmaceutical Science,T25,A0L,"In Temasek Polytechnic’s Pharmaceutical Science course, you will learn specialized subjects related to drug action to diseases, medicine legislation and patient counselling to prepare you to work in the pharmacies.  You will also be grounded in drug development, chemical and biological analysis, and pharmaceutical manufacturing to prepare yourself in a career in the pharmaceutical industry.  Furthermore, if you have an inclination towards being specialist investigator in criminal forensics, you will have the opportunity to select elective subjects in our Forensics & Analytical Bioscience specialization. You will be able to take up an internship position at hospitals, retail pharmacies, pharmaceutical manufacturing industry, or QC and research laboratories in Singapore or overseas.  In the course of your study, you can also be involved in various research projects in drug formulation and preclinical trials; participate in numerous competitions; go for overseas study trips such as to Australia; and use your knowledge to help the less fortunate in overseas community projects.",http://www.tp.edu.sg/schools/asc/pharmaceutical-science
2016,School of Applied Science,Diploma in Veterinary Technology,T45,A0K,"Thought of developing vaccines and therapeutics to save animal lives or doing investigative research into animal and aquatic diseases? How about enhancing your pet health and wellness or breeding endangered species for conservation? The Diploma in Veterinary Technology places ample emphasis on  industry-oriented practical training in veterinary and aquaculture science with active participation from the industry partners. You will also have an opportunity to delve deeply into investigative and applied research in either bioconservation, biomedical research , aquaculture,  or veterinary science. With fully equipped animal and aquaculture facilities, aquaculture research stattion at fish farm as well as an on-site veterinary clinic, students will receive up-to-date skill-based training to stay current and meet the manpower demand in the veterinary, aquaculture, biomedical research and pet industries.All students will go through clinical training at the veterinary clinics over a year  in addition to the on-site applied and experiential learning at the industry workplace as part of the internship programme for at least 6 months. Students will also be able to take on non-diploma core modules such as entrepreneurship, innovation, problem solving, design, foreign language or business fundamentals as part of the holistic training programme.",http://www.tp.edu.sg/schools/asc/veterinary-technology-t45
2016,School of Business,Business/ Logistics & Operations Management/Marketing,T01,B0A,"Provide a solid grounding in core business knowledge and expertise such as how to manage people and processes, write and present effectively, understand the economic environment, and measure business performance.",http://www.tp.edu.sg/schools/bus/business-studies-grouping
2016,School of Business,Diploma in Accounting & Finance,T02,B0B,"The Diploma in Accounting & Finance is the first diploma course in Singapore to offer professional training in both accounting and financial know-how, a perfect preparatory course for those who aim to seek employment in the finance industry.",http://www.tp.edu.sg/schools/bus/accounting-and-finance
